stop_id;stop_name
U7530Z2;Dolní nádraží
U1011Z2;Autobusové nádraží
U19012Z1;Hodonín, STS
U1146Z33;Hlavní nádraží
U1146Z31;Hlavní nádraží
U19002Z1;Hodonín, Brněnská
U7530Z1;Dolní nádraží
U15775Z2;Hevlín, škola
U1696Z12;ÚAN Zvonařka
U16348Z1;Klobouky u Brna, samoobsluha
U15773Z2;Hevlín, cihelna
U16343Z1;Klobouky u Brna, Nádražní
U15627Z2;Hrabětice
U1696Z15;ÚAN Zvonařka
U17337Z1;Rousínov, rozc. k žel. st.
U15640Z2;Šanov, u mostu
U1807Z1;Železniční
U15639Z2;Šanov, požární zbrojnice
U15637Z2;Hrušovany nad Jevišovkou, žel. st.
U1148Z1;Hněvkovského
U17335Z1;Rousínov, autobusová stanice
U15628Z2;Hrabětice, rozcestí
U1511Z1;Popelova
U17423Z2;Vyškov, Autobusové nádraží
U15634Z2;Hrušovany nad Jevišovkou, statek
U1118Z1;Glocova
U17446Z1;Vyškov, železniční stanice
U15631Z2;Hrušovany nad Jevišovkou, lékárna
U1538Z1;Revoluční
U17427Z1;Vyškov, Dělnický dům
U15632Z1;Hrušovany nad Jevišovkou, Lidická, VÚPP
U1131Z1;Hanácká
U17440Z1;Vyškov, Rostex
U15635Z2;Hrušovany nad Jevišovkou, STS
U1186Z1;Chrlická
U17431Z1;Vyškov, hotel Dukla
U15553Z2;Litobratřice, u konírny
U1592Z3;Sokolnická
U17426Z1;Vyškov, Dědice, u hřbitova
U15554Z2;Litobratřice, obecní úřad
U16173Z1;Sokolnice, Brněnská
U17424Z1;Vyškov, Dědice, nám. Svobody
U15552Z2;Jiřice u Miroslavi
U16145Z1;Sokolnice, obecní úřad
U17445Z1;Vyškov, Dědice, kasárna
U15430Z2;Troskotovice, prodejna
U16149Z1;Sokolnice, železniční stanice
U15431Z2;Troskotovice, škola
U17425Z1;Vyškov, Dědice, rozc. Opatovice
U16157Z1;Újezd u Brna, Revoluční
U17430Z1;Vyškov, Hamiltony
U17433Z1;Vyškov, Lhota, u školy
U17432Z1;Vyškov, Lhota
U17439Z1;Vyškov, Pařezovice, rozcestí
U17441Z1;Vyškov, Rychtářov
U17443Z1;Vyškov, Rychtářov, točna
U17443Z2;Vyškov, Rychtářov, točna
U17441Z2;Vyškov, Rychtářov
U17439Z2;Vyškov, Pařezovice, rozcestí
U17432Z2;Vyškov, Lhota
U17433Z2;Vyškov, Lhota, u školy
U17430Z2;Vyškov, Hamiltony
U17425Z2;Vyškov, Dědice, rozc. Opatovice
U17424Z2;Vyškov, Dědice, nám. Svobody
U17426Z2;Vyškov, Dědice, u hřbitova
U17431Z2;Vyškov, hotel Dukla
U17440Z2;Vyškov, Rostex
U17427Z2;Vyškov, Dělnický dům
U17446Z2;Vyškov, železniční stanice
U17442Z1;Vyškov, Rychtářov, Rohlina
U17447Z1;Studnice, Doubrava
U12412Z1;Studnice
U12413Z1;Studnice, Odrůvky
U12405Z1;Nové Sady
U12405Z2;Nové Sady
U12413Z2;Studnice, Odrůvky
U12412Z2;Studnice
U17447Z2;Studnice, Doubrava
U17438Z1;Vyškov, Opatovice, u mlýna
U17437Z1;Vyškov, Opatovice, náves
U17436Z1;Vyškov, Opatovice, bytovky
U17423Z14;Vyškov, Autobusové nádraží
U17335Z4;Rousínov, autobusová stanice
U17337Z2;Rousínov, rozc. k žel. st.
U17346Z2;Velešovice, obecní úřad
U17347Z2;Velešovice, u hřiště
U16331Z1;Slavkov u Brna, poliklinika
U16328Z8;Slavkov u Brna, aut. st.
U16328Z10;Slavkov u Brna, aut. st.
U17347Z1;Velešovice, u hřiště
U17346Z1;Velešovice, obecní úřad
U17335Z9;Rousínov, autobusová stanice
U16333Z1;Slavkov u Brna, žel. st.
U16324Z2;Nížkovice, u hřiště
U16312Z2;Kobeřice, na kopci
U15429Z2;Troskotovice, hřbitov
U16534Z2;Želetice
U16313Z2;Kobeřice, pohostinství
U16313Z1;Kobeřice, pohostinství
U16312Z1;Kobeřice, na kopci
U16324Z1;Nížkovice, u hřiště
U16322Z1;Nížkovice
U16323Z1;Nížkovice, Na hraničkách
U16307Z1;Heršpice
U16308Z1;Heršpice, zelnice
U16333Z2;Slavkov u Brna, žel. st.
U18009Z13;Znojmo, autobusové nádraží
U18022Z1;Znojmo, Vídeňská, u školy
U18040Z2;Znojmo, Dukelská, u mostu
U18055Z1;Znojmo, Načeratice, host.
U18054Z1;Znojmo, Derflice
U18129Z1;Strachotice, obecní úřad
U18131Z1;Strachotice, Micmanice
U18277Z1;Slup
U18278Z1;Slup, Oleksovičky, rozcestí
U18274Z1;Jaroslavice
U18359Z2;Hrádek, kulturní dům
U18363Z2;Hrádek, u mlýna
U18357Z2;Dyjákovice, nad hostincem
U18358Z1;Dyjákovice, škola
U15775Z3;Hevlín, škola
U15775Z4;Hevlín, škola
U18358Z2;Dyjákovice, škola
U18357Z1;Dyjákovice, nad hostincem
U18363Z1;Hrádek, u mlýna
U18359Z1;Hrádek, kulturní dům
U18274Z2;Jaroslavice
U18278Z2;Slup, Oleksovičky, rozcestí
U18279Z2;Slup, Oleksovičky, u mostu
U18277Z2;Slup
U18131Z2;Strachotice, Micmanice
U18129Z2;Strachotice, obecní úřad
U18054Z2;Znojmo, Derflice
U18055Z2;Znojmo, Načeratice, host.
U18040Z1;Znojmo, Dukelská, u mostu
U18022Z2;Znojmo, Vídeňská, u školy
U15317Z6;Pohořelice, náměstí
U15320Z1;Pohořelice, obchodní akademie
U14011Z1;Branišovice, státní silnice
U14024Z1;Trnové Pole, rozcestí
U14552Z1;Miroslav, rozcestí
U16156Z3;Újezd u Brna, městský úřad
U15434Z2;Vlasatice, Troskotovická
U16533Z2;Želetice, statek
U16156Z2;Újezd u Brna, městský úřad
U15433Z2;Vlasatice, obecní úřad
U16157Z2;Újezd u Brna, Revoluční
U16527Z2;Dražůvky
U15325Z1;Pohořelice, Velký Dvůr, rozcestí
U16525Z2;Archlebov
U16149Z3;Sokolnice, železniční stanice
U15368Z1;Pohořelice, průmyslová zóna jih
U16449Z2;Žarošice
U16145Z2;Sokolnice, obecní úřad
U15327Z1;Pohořelice, Městský úřad
U16448Z2;Žarošice, škola
U16173Z2;Sokolnice, Brněnská
U15317Z3;Pohořelice, náměstí
U16444Z2;Žarošice, Silničná, rozcestí Uhřice
U1592Z4;Sokolnická
U15315Z2;Pohořelice, Brněnská
U16446Z2;Žarošice, Zdravá Voda
U1186Z2;Chrlická
U15379Z2;Pohořelice, průmyslová zóna východ
U16445Z2;Žarošice, Těšanka
U1538Z2;Revoluční
U15122Z4;Modřice, Brněnská
U16336Z2;Heršpice, Bílý Vlk
U1118Z2;Glocova
U1703Z7;Ústřední hřbitov
U16337Z2;Nížkovice, rozcestí
U1511Z2;Popelova
U1622Z1;Strážní
U16332Z2;Slavkov u Brna, rozc. k žel. st. 0.5
U1148Z2;Hněvkovského
U1696Z9;ÚAN Zvonařka
U16328Z2;Slavkov u Brna, aut. st.
U1565Z2;Sazenice
U1622Z2;Strážní
U16334Z2;Velešovice, rozc.
U1807Z2;Železniční
U1703Z6;Ústřední hřbitov
U16206Z2;Holubice, nadjezd
U19001Z12;Hodonín, autobusové nádraží
U15137Z10;Modřice, Tyršova
U1677Z2;Tržní
U19011Z1;Hodonín, restaurace Morava
U15379Z1;Pohořelice, průmyslová zóna východ
U1696Z6;ÚAN Zvonařka
U19007Z1;Hodonín, lázně
U15315Z1;Pohořelice, Brněnská
U1677Z3;Tržní
U19004Z1;Hodonín, Černý most
U15317Z4;Pohořelice, náměstí
U16206Z1;Holubice, nadjezd
U19003Z1;Hodonín, cihelna
U15327Z2;Pohořelice, Městský úřad
U16334Z1;Velešovice, rozc.
U19009Z1;Hodonín, Pánov
U15368Z2;Pohořelice, průmyslová zóna jih
U16328Z3;Slavkov u Brna, aut. st.
U19159Z1;Ratíškovice, U Hájenky
U15325Z2;Pohořelice, Velký Dvůr, rozcestí
U16332Z1;Slavkov u Brna, rozc. k žel. st. 0.5
U19154Z1;Ratíškovice
U15433Z1;Vlasatice, obecní úřad
U16337Z1;Nížkovice, rozcestí
U19160Z1;Ratíškovice, u Svatého Jána
U15434Z1;Vlasatice, Troskotovická
U16336Z1;Heršpice, Bílý Vlk
U19155Z1;Ratíškovice, drůbežárna
U15429Z1;Troskotovice, hřbitov
U16445Z1;Žarošice, Těšanka
U19162Z1;Vacenovice, stadion
U15431Z1;Troskotovice, škola
U16446Z1;Žarošice, Zdravá Voda
U19161Z3;Vacenovice
U15430Z1;Troskotovice, prodejna
U16444Z1;Žarošice, Silničná, rozcestí Uhřice
U16804Z1;Milotice, škola
U15552Z1;Jiřice u Miroslavi
U16448Z1;Žarošice, škola
U16802Z1;Milotice, náves
U15554Z1;Litobratřice, obecní úřad
U16449Z1;Žarošice
U16801Z1;Milotice, dvůr
U15553Z1;Litobratřice, u konírny
U16525Z1;Archlebov
U16805Z1;Skoronice
U15635Z1;Hrušovany nad Jevišovkou, STS
U16527Z1;Dražůvky
U16819Z1;Vlkoš, škola
U15632Z2;Hrušovany nad Jevišovkou, Lidická, VÚPP
U16533Z1;Želetice, statek
U16608Z3;Kyjov, aut. st.
U15631Z1;Hrušovany nad Jevišovkou, lékárna
U16534Z1;Želetice
U16609Z1;Kyjov, Brandlova sídliště
U15634Z1;Hrušovany nad Jevišovkou, statek
U16530Z1;Nenkovice, u kašny
U16836Z2;Kostelec, točna
U15628Z1;Hrabětice, rozcestí
U16528Z1;Nenkovice, obecní úřad
U16835Z1;Kostelec, horní zastávka
U15637Z1;Hrušovany nad Jevišovkou, žel. st.
U16529Z1;Nenkovice, škola
U16826Z1;Čeložnice, Domov důchodců
U15639Z1;Šanov, požární zbrojnice
U16635Z1;Stavěšice
U16825Z1;Čeložnice
U15640Z1;Šanov, u mostu
U16622Z1;Strážovice
U16825Z2;Čeložnice
U15627Z1;Hrabětice
U16612Z1;Kyjov, nemocnice
U16826Z2;Čeložnice, Domov důchodců
U15773Z1;Hevlín, cihelna
U16608Z16;Kyjov, aut. st.
U16835Z2;Kostelec, horní zastávka
U15775Z1;Hevlín, škola
U16608Z8;Kyjov, aut. st.
U16609Z2;Kyjov, Brandlova sídliště
U15843Z1;Hevlín, LAA BOMBA - SHOPPING CENTER
U16817Z1;Vlkoš
U19001Z16;Hodonín, autobusové nádraží
U15829Z1;Laa an der Thaya, Stadtplatz
U16819Z2;Vlkoš, škola
U19149Z2;Dubňany, škola
U15838Z1;Laa an der Thaya, Bahnhof
U16805Z2;Skoronice
U19151Z1;Dubňany, u mlýna
U15839Z1;Laa an der Thaya, Therme
U16801Z2;Milotice, dvůr
U19147Z2;Dubňany, pivnice
U15839Z2;Laa an der Thaya, Therme
U16802Z2;Milotice, náves
U19143Z2;Dubňany, kaplička
U15838Z2;Laa an der Thaya, Bahnhof
U16804Z2;Milotice, škola
U19153Z2;Dubňany, učiliště
U15829Z2;Laa an der Thaya, Stadtplatz
U19161Z2;Vacenovice
U19148Z2;Dubňany, rozcestí k železniční stanici
U15843Z11;Hevlín, LAA BOMBA - SHOPPING CENTER
U19162Z2;Vacenovice, stadion
U19142Z2;Dubňany, Jarohněvice
U1696Z8;ÚAN Zvonařka
U19155Z2;Ratíškovice, drůbežárna
U19148Z1;Dubňany, rozcestí k železniční stanici
U18009Z51;Znojmo, autobusové nádraží
U19160Z2;Ratíškovice, u Svatého Jána
U19153Z1;Dubňany, učiliště
U18009Z1;Znojmo, autobusové nádraží
U19154Z4;Ratíškovice
U19150Z1;Dubňany, školka
U1696Z11;ÚAN Zvonařka
U19159Z2;Ratíškovice, U Hájenky
U19141Z1;Dubňany, Horní Huť
U15714Z1;Mikulov, železniční stanice
U19009Z2;Hodonín, Pánov
U19145Z1;Dubňany, náměstí
U15709Z3;Mikulov, u parku
U19003Z2;Hodonín, cihelna
U19144Z1;Dubňany, kostel
U15702Z2;Mikulov, Brněnská
U19004Z2;Hodonín, Černý most
U19144Z2;Dubňany, kostel
U15701Z2;Bavory, rozcestí
U19007Z2;Hodonín, lázně
U19145Z2;Dubňany, náměstí
U15545Z2;Dolní Dunajovice, rozcestí
U19011Z2;Hodonín, restaurace Morava
U19150Z2;Dubňany, školka
U15544Z3;Dolní Dunajovice, Jednota
U19001Z50;Hodonín, autobusové nádraží
U19143Z1;Dubňany, kaplička
U15543Z2;Dolní Dunajovice, Hlavní
U19001Z1;Hodonín, autobusové nádraží
U19147Z1;Dubňany, pivnice
U15565Z2;Brod nad Dyjí, obecní úřad
U19002Z2;Hodonín, Brněnská
U19151Z2;Dubňany, u mlýna
U15558Z4;Drnholec
U19012Z2;Hodonín, STS
U19149Z1;Dubňany, škola
U15428Z2;Pasohlávky, u kostela
U19015Z2;Hodonín, Zbrod
U16345Z5;Klobouky u Brna, náměstí
U15427Z2;Pasohlávky, rozcestí Ivaň
U19103Z2;Mutěnice, křižovatka
U16346Z1;Klobouky u Brna, ropovod
U15318Z2;Pohořelice, Nová Ves
U19104Z2;Mutěnice, škola
U16349Z1;Klobouky u Brna, samota
U15317Z7;Pohořelice, náměstí
U16551Z2;Hovorany, čerpací stanice
U16355Z1;Morkůvky, obecní úřad
U1696Z10;ÚAN Zvonařka
U16554Z2;Hovorany, rozcestí
U16453Z1;Brumovice, škola
U15317Z5;Pohořelice, náměstí
U16545Z2;Čejč, náměstí
U16452Z1;Brumovice, obecní úřad
U15318Z1;Pohořelice, Nová Ves
U16462Z2;Terezín
